Gene symbol,ProbeSet,Disease state,Disease state mean difference,Disease state lwr,Disease state upr,Disease state p-adj,Gene title
NMU,206023_at,AML-Healthy,-0.240794272,0.189571742,0.292016803,0,neuromedin U
TNFAIP6,206025_s_at,AML-Healthy,-0.173878986,0.124923419,0.222834553,0,"tumor necrosis factor, alpha-induced protein 6"
ATP2C2,206043_s_at,AML-Healthy,-0.140833057,0.11379764,0.167868474,0,"ATPase, Ca++ transporting, type 2C, member 2"
WT1,206067_s_at,AML-Healthy,0.255353431,-0.318608527,-0.192098336,0,Wilms tumor 1
CHML,206079_at,AML-Healthy,0.060311959,-0.089919596,-0.030704321,6.66E-05,choroideremia-like (Rab escort protein 2)
GINS1,206102_at,AML-Healthy,-0.134254232,0.084255576,0.184252887,1.50E-07,GINS complex subunit 1 (Psf1 homolog)
MAPK12,206106_at,AML-Healthy,0.093112354,-0.123351672,-0.062873036,8.21E-10,mitogen-activated protein kinase 12
ADAMDEC1,206134_at,AML-Healthy,0.075764629,-0.130819929,-0.020709329,0.007010055,"ADAM-like, decysin 1"
RHAG,206145_at,AML-Healthy,-0.23596768,0.152886569,0.319048791,2.71E-08,Rh-associated glycoprotein
IL3RA,206148_at,AML-Healthy,0.074927316,-0.099680891,-0.050173741,2.35E-09,"interleukin 3 receptor, alpha (low affinity)"
ARG1,206177_s_at,AML-Healthy,-0.248677314,0.172391268,0.32496336,0,arginase 1
CLC,206207_at,AML-Healthy,-0.199874646,0.131647284,0.268102007,9.30E-09,Charcot-Leyden crystal galectin
CA4,206208_at,AML-Healthy,-0.111834496,0.08485787,0.138811122,0,carbonic anhydrase IV
KPNA5,206241_at,AML-Healthy,0.087523849,-0.120190274,-0.054857424,1.60E-07,karyopherin alpha 5 (importin alpha 6)
RAB4A ,206272_at,AML-Healthy,0.078468574,-0.115656697,-0.04128045,3.62E-05,"RAB4A, member RAS oncogene family "
TAL1,206283_s_at,AML-Healthy,-0.210273697,0.146185446,0.274361948,0,T-cell acute lymphocytic leukemia 1
TEC,206301_at,AML-Healthy,0.099195453,-0.125674149,-0.072716756,0,tec protein tyrosine kinase
SPINK2,206310_at,AML-Healthy,0.080838338,-0.142089376,-0.019587299,0.009707996,"serine peptidase inhibitor, Kazal type 2 (acrosin-trypsin inhibitor)"
CALCRL,206331_at,AML-Healthy,0.085357037,-0.121011089,-0.049702985,2.81E-06,calcitonin receptor like receptor
NRG1,206343_s_at,AML-Healthy,-0.12627162,0.083558596,0.168984643,6.58E-09,neuregulin 1
XCL1,206366_x_at,AML-Healthy,-0.124288545,0.084408668,0.164168421,1.77E-10,chemokine (C motif) ligand 1
FOLR3,206371_at,AML-Healthy,-0.211805994,0.160809772,0.262802217,0,folate receptor 3 (gamma)
PF4,206390_x_at,AML-Healthy,-0.122232267,0.070123049,0.174341485,4.43E-06,platelet factor 4
IGSF6,206420_at,AML-Healthy,-0.155271538,0.096245391,0.214297685,2.66E-07,"immunoglobulin superfamily, member 6"
LIN7A,206440_at,AML-Healthy,-0.224190846,0.170288895,0.278092797,0,lin-7 homolog A (C. elegans)
BMX,206464_at,AML-Healthy,-0.1819911,0.139835755,0.224146445,0,BMX non-receptor tyrosine kinase
KIAA0125,206478_at,AML-Healthy,0.092344236,-0.15829447,-0.026394002,0.006079999,KIAA0125
CYP4F2 ,206514_s_at,AML-Healthy,-0.147761649,0.120737398,0.1747859,0,"cytochrome P450, family 4, subfamily F, polypeptide 2 "
CYP4F3,206515_at,AML-Healthy,-0.453467442,0.385058098,0.521876785,0,"cytochrome P450, family 4, subfamily F, polypeptide 3"
MGAM,206522_at,AML-Healthy,-0.265959976,0.20230534,0.329614613,0,maltase-glucoamylase
CD28,206545_at,AML-Healthy,-0.112798497,0.066163563,0.15943343,2.22E-06,CD28 molecule
PTP4A3,206574_s_at,AML-Healthy,0.069311869,-0.106479144,-0.032144595,0.000260325,"protein tyrosine phosphatase type IVA, member 3"
CEACAM1,206576_s_at,AML-Healthy,-0.174452824,0.137789135,0.211116514,0,carcinoembryonic antigen-related cell adhesion molecule 1 (biliary glycoprotein)
LY96,206584_at,AML-Healthy,-0.154277599,0.089279732,0.219275467,3.41E-06,lymphocyte antigen 96
IL18R1,206618_at,AML-Healthy,-0.111900394,0.071696294,0.152104494,5.16E-08,interleukin 18 receptor 1
TRH,206622_at,AML-Healthy,0.089827013,-0.142924133,-0.036729893,0.00092104,thyrotropin-releasing hormone
APOBEC3B,206632_s_at,AML-Healthy,-0.186723171,0.129306666,0.244139675,0,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B"
SIX3,206634_at,AML-Healthy,0.07611695,-0.11016669,-0.04206721,1.21E-05,SIX homeobox 3
GZMK,206666_at,AML-Healthy,-0.112409276,0.070400964,0.154417589,1.66E-07,granzyme K
FLT3,206674_at,AML-Healthy,0.193419863,-0.233847737,-0.15299199,0,fms-related tyrosine kinase 3
CEACAM8,206676_at,AML-Healthy,-0.351181264,0.25683603,0.445526499,0,carcinoembryonic antigen-related cell adhesion molecule 8
HP,206697_s_at,AML-Healthy,-0.201455421,0.15367341,0.249237432,0,haptoglobin
XK,206698_at,AML-Healthy,-0.150248235,0.067214704,0.233281766,0.000394556,X-linked Kx blood group
KDM5D,206700_s_at,AML-Healthy,-0.158863225,0.115087026,0.202639424,0,lysine (K)-specific demethylase 5D
SPAG9,206748_s_at,AML-Healthy,0.061183332,-0.093828082,-0.028538582,0.000242404,sperm associated antigen 9
CYP2B6 ,206754_s_at,AML-Healthy,0.077451468,-0.103060107,-0.051842828,2.45E-09,"cytochrome P450, family 2, subfamily B, polypeptide 6 "
KCNJ2,206765_at,AML-Healthy,-0.109708963,0.06716175,0.152256177,4.55E-07,"potassium channel, inwardly rectifying subfamily J, member 2"
HNRNPA3P1,206808_at,AML-Healthy,0.066529631,-0.089563336,-0.043495925,1.54E-08,heterogeneous nuclear ribonucleoprotein A3 pseudogene 1
HOXA7,206847_s_at,AML-Healthy,0.078085368,-0.11427688,-0.041893855,2.41E-05,homeobox A7
RASL10A,206850_at,AML-Healthy,0.068760333,-0.097308559,-0.040212107,2.44E-06,"RAS-like, family 10, member A"
RNASE3,206851_at,AML-Healthy,-0.121954782,0.071275241,0.172634323,2.49E-06,"ribonuclease, RNase A family, 3"
ELANE,206871_at,AML-Healthy,-0.139278956,0.076762735,0.201795176,1.30E-05,"elastase, neutrophil expressed"
LILRA3,206881_s_at,AML-Healthy,-0.133159405,0.087450267,0.178868544,1.14E-08,"leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 3"
TNFSF9,206907_at,AML-Healthy,0.108055073,-0.148436759,-0.067673387,1.66E-07,"tumor necrosis factor (ligand) superfamily, member 9"
GNA13,206917_at,AML-Healthy,0.072636173,-0.11066763,-0.034604715,0.000184131,"guanine nucleotide binding protein (G protein), alpha 13"
SPTA1,206937_at,AML-Healthy,-0.155908787,0.098362206,0.213455368,1.16E-07,"spectrin, alpha, erythrocytic 1"
LCT,206945_at,AML-Healthy,0.077772422,-0.11163528,-0.043909563,6.97E-06,lactase
WT1-AS,206954_at,AML-Healthy,0.07114755,-0.099837612,-0.042457488,1.22E-06,WT1 antisense RNA
LPAR4,206960_at,AML-Healthy,0.069131297,-0.107386575,-0.030876019,0.000401584,lysophosphatidic acid receptor 4
CXCR2,207008_at,AML-Healthy,-0.230175543,0.183082048,0.277269038,0,chemokine (C-X-C motif) receptor 2
PTK7,207011_s_at,AML-Healthy,0.065150799,-0.084071781,-0.046229816,0,protein tyrosine kinase 7 (inactive)
CSRP2,207030_s_at,AML-Healthy,0.100534918,-0.150230214,-0.050839623,7.47E-05,cysteine and glycine-rich protein 2
CDKN2A,207039_at,AML-Healthy,0.107384827,-0.145083965,-0.069685688,2.47E-08,cyclin-dependent kinase inhibitor 2A
SMAD6,207069_s_at,AML-Healthy,0.066114424,-0.089221637,-0.043007211,2.13E-08,SMAD family member 6
IL18RAP,207072_at,AML-Healthy,-0.237246273,0.186482939,0.288009607,0,interleukin 18 receptor accessory protein
CDK6,207143_at,AML-Healthy,0.103294045,-0.134094034,-0.072494056,0,cyclin-dependent kinase 6
IL12A,207160_at,AML-Healthy,0.063172559,-0.096901923,-0.029443194,0.000244808,interleukin 12A
HMMR,207165_at,AML-Healthy,-0.164810646,0.114048561,0.215572731,0,hyaluronan-mediated motility receptor (RHAMM)
NR1I2,207202_s_at,AML-Healthy,0.064835797,-0.09335007,-0.036321524,8.58E-06,"nuclear receptor subfamily 1, group I, member 2"
ALOX12,207206_s_at,AML-Healthy,-0.142623219,0.104362822,0.180883616,0,arachidonate 12-lipoxygenase
ART4,207220_at,AML-Healthy,-0.118393868,0.079112273,0.157675462,2.90E-09,ADP-ribosyltransferase 4 (Dombrock blood group)
DEFA4,207269_at,AML-Healthy,-0.236827081,0.161569031,0.31208513,0,"defensin, alpha 4, corticostatin"
MMP8,207329_at,AML-Healthy,-0.310145244,0.221383935,0.398906552,0,matrix metallopeptidase 8
PRTN3,207341_at,AML-Healthy,-0.221668686,0.150292582,0.29304479,3.37E-10,proteinase 3
PGLYRP1,207384_at,AML-Healthy,-0.250830802,0.202565201,0.299096404,0,peptidoglycan recognition protein 1
GYPB,207459_x_at,AML-Healthy,-0.132040322,0.081018604,0.18306204,4.14E-07,glycophorin B (MNS blood group)
PIR,207469_s_at,AML-Healthy,-0.128934739,0.085895218,0.17197426,3.81E-09,pirin
GUCA2B,207502_at,AML-Healthy,0.063280487,-0.086211347,-0.040349627,6.71E-08,guanylate cyclase activator 2B (uroguanylin)
ADGRE2,207610_s_at,AML-Healthy,0.07143484,-0.111538871,-0.03133081,0.000485743,adhesion G protein-coupled receptor E2
SERPINI2,207636_at,AML-Healthy,0.114568133,-0.149404451,-0.079731815,0,"serpin peptidase inhibitor, clade I (pancpin), member 2"
GPR171,207651_at,AML-Healthy,-0.124881884,0.079169856,0.170593912,9.08E-08,G protein-coupled receptor 171
BLNK,207655_s_at,AML-Healthy,-0.123327606,0.051657439,0.194997773,0.000750822,B-cell linker
FCAR,207674_at,AML-Healthy,-0.2853553,0.209317375,0.361393226,0,Fc fragment of IgA receptor
ARTN,207675_x_at,AML-Healthy,0.093161402,-0.13020734,-0.056115463,8.66E-07,artemin
ENTPD1,207691_x_at,AML-Healthy,-0.126406233,0.074114498,0.178697968,2.25E-06,ectonucleoside triphosphate diphosphohydrolase 1
CACNB4,207693_at,AML-Healthy,0.066749813,-0.099111141,-0.034388485,5.39E-05,"calcium channel, voltage-dependent, beta 4 subunit"
PKP2,207717_s_at,AML-Healthy,-0.209223934,0.165419791,0.253028077,0,plakophilin 2
KLRC3,207723_s_at,AML-Healthy,-0.111946922,0.072696263,0.151197581,2.37E-08,"killer cell lectin-like receptor subfamily C, member 3"
RNF125,207735_at,AML-Healthy,0.084424015,-0.126314047,-0.042533983,7.95E-05,"ring finger protein 125, E3 ubiquitin protein ligase"
TPSAB1,207741_x_at,AML-Healthy,0.129226215,-0.177074283,-0.081378147,1.27E-07,tryptase alpha/beta 1
SORBS3,207788_s_at,AML-Healthy,0.065690455,-0.089105581,-0.042275329,4.03E-08,sorbin and SH3 domain containing 3
LRRC1,207790_at,AML-Healthy,0.060131777,-0.084379712,-0.035883842,1.22E-06,leucine rich repeat containing 1
CRISP3,207802_at,AML-Healthy,-0.51965625,0.424297626,0.615014875,0,cysteine-rich secretory protein 3
PF4V1,207815_at,AML-Healthy,-0.182868026,0.134487426,0.231248626,0,platelet factor 4 variant 1
MAZ,207824_s_at,AML-Healthy,0.078034796,-0.11013974,-0.045929851,1.98E-06,MYC-associated zinc finger protein (purine-binding transcription factor)
RBPMS,207836_s_at,AML-Healthy,0.076435897,-0.123843967,-0.029027826,0.0015871,RNA binding protein with multiple splicing
CD160,207840_at,AML-Healthy,-0.124620443,0.092421133,0.156819754,0,CD160 molecule
CXCL3,207850_at,AML-Healthy,0.100310235,-0.161747822,-0.038872648,0.001382913,chemokine (C-X-C motif) ligand 3
GYPE,207854_at,AML-Healthy,-0.144655993,0.099931842,0.189380145,0,glycophorin E (MNS blood group)
MMP25,207890_s_at,AML-Healthy,-0.148952859,0.119856543,0.178049174,0,matrix metallopeptidase 25
MEF2C,207968_s_at,AML-Healthy,0.071328107,-0.102789963,-0.039866251,9.12E-06,myocyte enhancer factor 2C
AMPD3,207992_s_at,AML-Healthy,-0.117490413,0.091158075,0.143822752,0,adenosine monophosphate deaminase 3
CDC14B,208022_s_at,AML-Healthy,-0.15854547,0.129009797,0.188081144,0,cell division cycle 14B
SOCS5,208127_s_at,AML-Healthy,0.092563444,-0.121907193,-0.063219696,0,suppressor of cytokine signaling 5
OSBPL1A,208158_s_at,AML-Healthy,-0.138262381,0.100399281,0.176125482,0,oxysterol binding protein-like 1A
CHIT1,208168_s_at,AML-Healthy,-0.301046689,0.257568226,0.344525152,0,chitinase 1 (chitotriosidase)
TRIO,208178_x_at,AML-Healthy,0.067468647,-0.092854498,-0.042082796,2.01E-07,trio Rho guanine nucleotide exchange factor
ACKR1,208335_s_at,AML-Healthy,-0.118312948,0.072920422,0.163705474,3.42E-07,atypical chemokine receptor 1 (Duffy blood group)
CSN1S1,208350_at,AML-Healthy,0.095931841,-0.13535771,-0.056505972,1.93E-06,casein alpha s1
ATM,208442_s_at,AML-Healthy,0.071318994,-0.112195326,-0.030442663,0.000632708,ATM serine/threonine kinase
HP ,208470_s_at,AML-Healthy,-0.243045715,0.189648453,0.296442977,0,haptoglobin 
GFI1B,208501_at,AML-Healthy,-0.131932288,0.084515649,0.179348927,5.22E-08,growth factor independent 1B transcription repressor
LOC102724229 ,208534_s_at,AML-Healthy,0.06803439,-0.095536635,-0.040532145,1.30E-06,uncharacterized LOC102724229 
HOXA6,208557_at,AML-Healthy,0.06472916,-0.100739239,-0.02871908,0.00043101,homeobox A6
H2BFS ,208579_x_at,AML-Healthy,0.065631176,-0.0943185,-0.036943851,7.56E-06,"H2B histone family, member S (pseudogene) "
SNTB1,208608_s_at,AML-Healthy,0.070866288,-0.10535681,-0.036375766,5.76E-05,"syntrophin, beta 1 (dystrophin-associated protein A1, 59kDa, basic component 1)"
CD24,208650_s_at,AML-Healthy,-0.302368337,0.213171984,0.39156469,0,CD24 molecule
PDLIM1,208690_s_at,AML-Healthy,0.084656738,-0.120942977,-0.048370499,4.98E-06,PDZ and LIM domain 1
DDX17,208719_s_at,AML-Healthy,0.066619932,-0.106370266,-0.026869597,0.001028068,DEAD (Asp-Glu-Ala-Asp) box helicase 17
ESYT1,208858_s_at,AML-Healthy,0.068005393,-0.088774064,-0.047236721,0,extended synaptotagmin-like protein 1
PLXNB2,208890_s_at,AML-Healthy,0.097866069,-0.125104637,-0.070627501,0,plexin B2
MDK,209035_at,AML-Healthy,0.067796088,-0.099195679,-0.036396496,2.37E-05,midkine (neurite growth-promoting factor 2)
UBE2G2,209041_s_at,AML-Healthy,0.065768989,-0.088545592,-0.042992387,1.56E-08,ubiquitin conjugating enzyme E2G 2
DDAH1,209094_at,AML-Healthy,-0.109765068,0.060090528,0.159439608,1.53E-05,dimethylarginine dimethylaminohydrolase 1
AKR1C3,209160_at,AML-Healthy,-0.11633019,0.063931161,0.168729219,1.39E-05,"aldo-keto reductase family 1, member C3"
CYB561,209163_at,AML-Healthy,0.090514395,-0.12178962,-0.05923917,1.44E-08,cytochrome b561
KLF5,209211_at,AML-Healthy,-0.258238115,0.20630287,0.31017336,0,Kruppel-like factor 5 (intestinal)
KIF1B,209234_at,AML-Healthy,-0.121319265,0.088480064,0.154158466,0,kinesin family member 1B
STX3,209238_at,AML-Healthy,-0.121433474,0.093997016,0.148869932,0,syntaxin 3
TNFRSF10B,209294_x_at,AML-Healthy,0.062717385,-0.088921127,-0.036513644,2.82E-06,"tumor necrosis factor receptor superfamily, member 10b"
CA2,209301_at,AML-Healthy,-0.109959669,0.05508538,0.164833958,8.73E-05,carbonic anhydrase II
TPM4,209344_at,AML-Healthy,0.101107931,-0.134597312,-0.067618551,2.67E-09,tropomyosin 4
ECM1,209365_s_at,AML-Healthy,0.104593629,-0.130914095,-0.078273162,0,extracellular matrix protein 1
ANXA3,209369_at,AML-Healthy,-0.390688999,0.304246062,0.477131935,0,annexin A3
TM4SF1,209386_at,AML-Healthy,0.081345496,-0.138389248,-0.024301743,0.005207167,transmembrane 4 L six family member 1
CHI3L1,209395_at,AML-Healthy,-0.421520435,0.344197577,0.498843293,0,chitinase 3-like 1 (cartilage glycoprotein-39)
DEAF1,209407_s_at,AML-Healthy,0.061277946,-0.084512771,-0.038043121,2.48E-07,DEAF1 transcription factor
SYNE1,209447_at,AML-Healthy,-0.150723443,0.115519601,0.185927285,0,"spectrin repeat containing, nuclear envelope 1"
AURKB,209464_at,AML-Healthy,-0.124769653,0.091131745,0.158407562,0,aurora kinase B
HDGFRP3,209524_at,AML-Healthy,-0.114809694,0.042549963,0.187069425,0.001855636,"hepatoma-derived growth factor, related protein 3"
CD34,209543_s_at,AML-Healthy,0.104213737,-0.154701297,-0.053726177,5.32E-05,CD34 molecule
GNAI1,209576_at,AML-Healthy,0.087287469,-0.155230254,-0.019344683,0.011821481,"guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 1"
MINPP1,209585_s_at,AML-Healthy,-0.172730241,0.117939485,0.227520997,0,multiple inositol-polyphosphate phosphatase 1
PAK1,209615_s_at,AML-Healthy,-0.113324538,0.066882178,0.159766899,1.80E-06,p21 protein (Cdc42/Rac)-activated kinase 1
CES1 ,209616_s_at,AML-Healthy,-0.124518159,0.067518909,0.18151741,1.90E-05,carboxylesterase 1 
BUB1,209642_at,AML-Healthy,-0.158369636,0.111396138,0.205343135,0,BUB1 mitotic checkpoint serine/threonine kinase
TFPI,209676_at,AML-Healthy,0.098510696,-0.148118379,-0.048903014,0.000101046,tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor)
S100B,209686_at,AML-Healthy,0.086671313,-0.143023038,-0.030319587,0.002586286,S100 calcium binding protein B
CDKN3,209714_s_at,AML-Healthy,-0.139520644,0.096892682,0.182148605,0,cyclin-dependent kinase inhibitor 3
CXCL2,209774_x_at,AML-Healthy,0.099204583,-0.153478909,-0.044930256,0.000344191,chemokine (C-X-C motif) ligand 2
PADI2,209791_at,AML-Healthy,-0.125887373,0.09297987,0.158794875,0,"peptidyl arginine deiminase, type II"
FRAT2,209864_at,AML-Healthy,-0.117246726,0.087433348,0.147060104,0,frequently rearranged in advanced T-cell lymphomas 2
SPC25,209891_at,AML-Healthy,-0.192137158,0.144777911,0.239496404,0,"SPC25, NDC80 kinetochore complex component"
HOXA10-HOXA9 ,209905_at,AML-Healthy,0.114404002,-0.181261973,-0.047546032,0.000803695,HOXA10-HOXA9 readthrough 
NCF2,209949_at,AML-Healthy,-0.131545346,0.074507513,0.188583178,6.38E-06,neutrophil cytosolic factor 2
EPOR,209962_at,AML-Healthy,-0.132211197,0.091513725,0.172908669,0,erythropoietin receptor
NRXN2,209982_s_at,AML-Healthy,0.166598111,-0.218741688,-0.114454534,0,neurexin 2
TCL1A,209995_s_at,AML-Healthy,-0.132506829,0.104578671,0.160434988,0,T-cell leukemia/lymphoma 1A
OLR1,210004_at,AML-Healthy,-0.35525472,0.294500779,0.416008662,0,oxidized low density lipoprotein (lectin-like) receptor 1
EWSR1,210012_s_at,AML-Healthy,0.063839207,-0.09638097,-0.031297443,0.000122465,EWS RNA binding protein 1
CHKB-CPT1B ,210070_s_at,AML-Healthy,0.077572645,-0.109774139,-0.045371151,2.43E-06,CHKB-CPT1B readthrough (NMD candidate) 
MYL4,210088_x_at,AML-Healthy,-0.118834489,0.077680793,0.159988186,1.56E-08,myosin light chain 4
SPAG1,210117_at,AML-Healthy,-0.110455078,0.055881868,0.165028289,7.41E-05,sperm associated antigen 1
KCNJ15,210119_at,AML-Healthy,-0.273791668,0.225473581,0.322109754,0,"potassium channel, inwardly rectifying subfamily J, member 15"
GZMB,210164_at,AML-Healthy,-0.142395915,0.096792489,0.187999341,9.92E-11,granzyme B
TLR1,210176_at,AML-Healthy,-0.113054248,0.065612565,0.160495931,3.12E-06,toll-like receptor 1
CDC42,210232_at,AML-Healthy,0.062391196,-0.109370689,-0.015411703,0.009261861,cell division cycle 42
IRX5,210239_at,AML-Healthy,0.09879321,-0.15603797,-0.041548449,0.000724435,iroquois homeobox 5
CAMP,210244_at,AML-Healthy,-0.323742549,0.267319096,0.380166001,0,cathelicidin antimicrobial peptide
MS4A3,210254_at,AML-Healthy,-0.178731827,0.110719693,0.24674396,2.74E-07,"membrane-spanning 4-domains, subfamily A, member 3 (hematopoietic cell-specific)"
CRISP2,210262_at,AML-Healthy,-0.296542927,0.256553753,0.336532101,0,cysteine-rich secretory protein 2
CYP2B7P,210272_at,AML-Healthy,0.060200998,-0.082682264,-0.037719732,1.62E-07,"cytochrome P450, family 2, subfamily B, polypeptide 7, pseudogene"
MS4A1,210356_x_at,AML-Healthy,-0.119080515,0.075357295,0.162803734,9.95E-08,"membrane-spanning 4-domains, subfamily A, member 1"
BARX2,210419_at,AML-Healthy,0.065124922,-0.086405074,-0.043844769,1.27E-09,BARX homeobox 2
RORA,210426_x_at,AML-Healthy,-0.16930541,0.115162952,0.223447869,4.26E-11,RAR-related orphan receptor A
RHD,210429_at,AML-Healthy,-0.19249688,0.125074207,0.259919553,2.28E-08,"Rh blood group, D antigen"
PKLR,210451_at,AML-Healthy,-0.125339926,0.091850487,0.158829365,0,"pyruvate kinase, liver and RBC"
CYP4F2,210452_x_at,AML-Healthy,-0.144070813,0.112789703,0.175351924,0,"cytochrome P450, family 4, subfamily F, polypeptide 2"
ADGRA3,210473_s_at,AML-Healthy,0.066802316,-0.1102447,-0.023359932,0.00259162,adhesion G protein-coupled receptor A3
KLF1,210504_at,AML-Healthy,-0.179937601,0.118418659,0.241456543,9.85E-09,Kruppel-like factor 1 (erythroid)
INHBA,210511_s_at,AML-Healthy,-0.140885073,0.091370038,0.190400108,2.56E-08,inhibin beta A
VEGFA,210512_s_at,AML-Healthy,-0.114054742,0.06329996,0.164809525,1.09E-05,vascular endothelial growth factor A
CCL23,210548_at,AML-Healthy,0.084738374,-0.149634599,-0.019842148,0.010509701,chemokine (C-C motif) ligand 23
EPB42,210746_s_at,AML-Healthy,-0.164103865,0.093338368,0.234869361,5.67E-06,erythrocyte membrane protein band 4.2
CACNA1A,210770_s_at,AML-Healthy,0.071006458,-0.09889711,-0.043115806,6.34E-07,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit"
FPR2,210772_at,AML-Healthy,-0.209627831,0.161671465,0.257584198,0,formyl peptide receptor 2
ENPP2,210839_s_at,AML-Healthy,0.080150161,-0.124556709,-0.035743614,0.000408135,ectonucleotide pyrophosphatase/phosphodiesterase 2
APOBEC3A ,210873_x_at,AML-Healthy,-0.182565759,0.111246452,0.253885067,5.51E-07,"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3A "
GTF2I,210892_s_at,AML-Healthy,0.085774752,-0.120953862,-0.050595642,1.84E-06,general transcription factor IIi
CAPN3,210944_s_at,AML-Healthy,-0.16067205,0.12503142,0.19631268,0,calpain 3
PFKM,210976_s_at,AML-Healthy,-0.134420963,0.094645164,0.174196762,0,"phosphofructokinase, muscle"
CLIP2,211031_s_at,AML-Healthy,0.152581956,-0.189878415,-0.115285497,0,CAP-GLY domain containing linker protein 2
MLLT11,211071_s_at,AML-Healthy,0.063283527,-0.102632719,-0.023934335,0.001630676,"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11"
ACSL6,211207_s_at,AML-Healthy,-0.202432907,0.135178675,0.269687138,3.08E-09,acyl-CoA synthetase long-chain family member 6
DAPK1,211214_s_at,AML-Healthy,0.062426484,-0.091014685,-0.033838283,1.92E-05,death-associated protein kinase 1
HSF2,211220_s_at,AML-Healthy,0.06350214,-0.099126966,-0.027877314,0.000481196,heat shock transcription factor 2
MRE11A,211334_at,AML-Healthy,0.064819431,-0.089372223,-0.04026664,2.41E-07,"MRE11 homolog A, double strand break repair nuclease"
PADI4,211412_at,AML-Healthy,-0.182842759,0.141864407,0.223821111,0,"peptidyl arginine deiminase, type IV"
RB1,211540_s_at,AML-Healthy,0.068636684,-0.094600094,-0.042673273,2.33E-07,retinoblastoma 1
LRIG1,211596_s_at,AML-Healthy,-0.187884985,0.146922299,0.228847671,0,leucine-rich repeats and immunoglobulin-like domains 1
IGKV1-17,211645_x_at,AML-Healthy,-0.154655143,0.104572044,0.204738242,6.44E-10,immunoglobulin kappa variable 1-17
ZNF551,211721_s_at,AML-Healthy,0.08750747,-0.135158294,-0.039856646,0.000322727,zinc finger protein 551
PRG2,211743_s_at,AML-Healthy,-0.147965259,0.089774239,0.206156279,6.54E-07,"proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein)"
PDE4D,211840_s_at,AML-Healthy,0.072581331,-0.106921035,-0.038241626,3.51E-05,"phosphodiesterase 4D, cAMP-specific"
AHNAK,211986_at,AML-Healthy,0.063652616,-0.093091906,-0.034213327,2.31E-05,AHNAK nucleoprotein
MKI67,212020_s_at,AML-Healthy,-0.112312272,0.080850601,0.143773944,0,marker of proliferation Ki-67
ATP9A,212062_at,AML-Healthy,-0.116500638,0.07678516,0.156216116,8.85E-09,"ATPase, class II, type 9A"
PBX1,212148_at,AML-Healthy,-0.202447309,0.147900292,0.256994326,0,pre-B-cell leukemia homeobox 1
SERPINE2,212190_at,AML-Healthy,-0.116768623,0.06389271,0.169644535,1.54E-05,"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2"
KCTD12,212192_at,AML-Healthy,-0.156388083,0.071061466,0.2417147,0.000331595,potassium channel tetramerization domain containing 12
ALDH1A1,212224_at,AML-Healthy,-0.189335989,0.130676792,0.247995185,0,"aldehyde dehydrogenase 1 family, member A1"
PIK3R1,212240_s_at,AML-Healthy,0.068918094,-0.094759351,-0.043076836,1.82E-07,"phosphoinositide-3-kinase, regulatory subunit 1 (alpha)"
MYO1B,212364_at,AML-Healthy,0.081610661,-0.119705037,-0.043516285,2.75E-05,myosin IB
MYH10,212372_at,AML-Healthy,-0.20219102,0.146397713,0.257984328,0,"myosin, heavy chain 10, non-muscle"
FEM1B,212374_at,AML-Healthy,0.064073053,-0.09380793,-0.034338176,2.47E-05,fem-1 homolog b (C. elegans)
6-Sep,212413_at,AML-Healthy,0.085494483,-0.122848816,-0.04814015,7.49E-06,septin 6
LCN2,212531_at,AML-Healthy,-0.311453784,0.246654074,0.376253494,0,lipocalin 2
TMEM259,212574_x_at,AML-Healthy,0.084578006,-0.118359362,-0.050796651,9.67E-07,transmembrane protein 259
JCHAIN,212592_at,AML-Healthy,-0.157993563,0.095223218,0.220763909,8.47E-07,joining chain of multimeric IgA and IgM
IL1RN,212657_s_at,AML-Healthy,-0.127234215,0.067200306,0.187268124,3.34E-05,interleukin 1 receptor antagonist
OLFM4,212768_s_at,AML-Healthy,-0.489845396,0.403704536,0.575986256,0,olfactomedin 4
OBSL1,212775_at,AML-Healthy,0.109999835,-0.175145719,-0.04485395,0.00094208,obscurin-like 1
PRUNE2,212805_at,AML-Healthy,-0.15015534,0.106832347,0.193478333,0,prune homolog 2 (Drosophila)
MEGF9,212830_at,AML-Healthy,-0.140436848,0.090129184,0.190744512,4.71E-08,multiple EGF-like-domains 9
TBC1D9,212956_at,AML-Healthy,-0.127539446,0.061004741,0.19407415,0.000174383,"TBC1 domain family, member 9 (with GRAM domain)"
ANKRD28,213035_at,AML-Healthy,0.083004676,-0.120296717,-0.045712634,1.32E-05,ankyrin repeat domain 28
TTC28,213058_at,AML-Healthy,0.086002312,-0.12163654,-0.050368084,2.33E-06,tetratricopeptide repeat domain 28
OLFML2A,213075_at,AML-Healthy,0.06316238,-0.099683563,-0.026641197,0.00070576,olfactomedin like 2A
